run_id,message_id,image_name,detections_count,top_class,top_confidence,inference_started_at,inference_finished_at,inference_ms,payload_size_bytes,publish_started_at,publish_confirmed_at,subscriber_received_at,subscriber_ack_published_at,publisher_ack_received_at,publish_to_subscriber_ms,subscriber_ack_processing_ms,ack_return_ms,roundtrip_ms
steps-local-yolo,37,000039.jpg,1,plastic_verpakking,0.956,1776617767.200944,1776617767.314888,113.94,367,1776617767.315583,1776617767.315906,1776617767.317135,1776617767.317166,1776617767.319988,1.55,0.03,2.82,4.41
steps-local-yolo,38,000040.JPG,2,plastic_verpakking,0.6736,1776617767.327508,1776617767.418902,91.39,485,1776617767.420336,1776617767.420641,1776617767.421807,1776617767.421838,1776617767.424295,1.47,0.03,2.46,3.96
steps-local-yolo,39,000041.JPG,2,metalen_verpakking,0.9576,1776617767.432064,1776617767.464463,32.4,486,1776617767.465109,1776617767.465449,1776617767.466692,1776617767.466724,1776617767.469364,1.58,0.03,2.64,4.26
steps-local-yolo,40,000043.jpg,1,plastic_verpakking,0.897,1776617767.476872,1776617767.534182,57.31,364,1776617767.534585,1776617767.534872,1776617767.536203,1776617767.536232,1776617767.538739,1.62,0.03,2.51,4.15
steps-local-yolo,41,000044.jpg,1,metalen_verpakking,0.9324,1776617767.546446,1776617767.600777,54.33,365,1776617767.601188,1776617767.601464,1776617767.60272,1776617767.602748,1776617767.605357,1.53,0.03,2.61,4.17
steps-local-yolo,42,000045.JPG,2,plastic_verpakking,0.9511,1776617767.613141,1776617767.661616,48.48,482,1776617767.662014,1776617767.662286,1776617767.663555,1776617767.663588,1776617767.666063,1.54,0.03,2.48,4.05
steps-local-yolo,43,000046.jpg,2,plastic_verpakking,0.9647,1776617767.673682,1776617767.7169,43.22,487,1776617767.717379,1776617767.717669,1776617767.719253,1776617767.719284,1776617767.721956,1.87,0.03,2.67,4.58
steps-local-yolo,44,000047.jpg,2,plastic_verpakking,0.9732,1776617767.729069,1776617767.822766,93.7,484,1776617767.826945,1776617767.827399,1776617767.828621,1776617767.828653,1776617767.831539,1.68,0.03,2.89,4.59
steps-local-yolo,45,000048.JPG,1,plastic_verpakking,0.9746,1776617767.838797,1776617767.936422,97.62,366,1776617767.937073,1776617767.937404,1776617767.938663,1776617767.938693,1776617767.941208,1.59,0.03,2.51,4.14
steps-local-yolo,46,000049.jpg,5,plastic_verpakking,0.9309,1776617767.948801,1776617768.06164,112.84,849,1776617768.063359,1776617768.063717,1776617768.064896,1776617768.064931,1776617768.067407,1.54,0.04,2.48,4.05
steps-local-yolo,47,000050.JPG,1,plastic_verpakking,0.7764,1776617768.075162,1776617768.111201,36.04,361,1776617768.111675,1776617768.111966,1776617768.113141,1776617768.113198,1776617768.115898,1.47,0.06,2.7,4.22
steps-local-yolo,48,000051.jpg,2,plastic_verpakking,0.9529,1776617768.123606,1776617768.233113,109.51,488,1776617768.233828,1776617768.234113,1776617768.235486,1776617768.235517,1776617768.238245,1.66,0.03,2.73,4.42
steps-local-yolo,49,000052.jpg,4,plastic_verpakking,0.9621,1776617768.245448,1776617768.305971,60.52,723,1776617768.306917,1776617768.307344,1776617768.308918,1776617768.308951,1776617768.311817,2.0,0.03,2.87,4.9
steps-local-yolo,50,000053.jpg,2,plastic_verpakking,0.9575,1776617768.31911,1776617768.397463,78.35,487,1776617768.398499,1776617768.398796,1776617768.400009,1776617768.400039,1776617768.402531,1.51,0.03,2.49,4.03
steps-local-yolo,51,000054.jpg,2,plastic_verpakking,0.9609,1776617768.410117,1776617768.468907,58.79,488,1776617768.469548,1776617768.469877,1776617768.471006,1776617768.471092,1776617768.47362,1.46,0.09,2.53,4.07
steps-local-yolo,52,000055.jpg,3,plastic_verpakking,0.9623,1776617768.481173,1776617768.534415,53.24,607,1776617768.535295,1776617768.535574,1776617768.536807,1776617768.536839,1776617768.539311,1.51,0.03,2.47,4.02
steps-local-yolo,53,000056.jpg,4,plastic_verpakking,0.9728,1776617768.547053,1776617768.604789,57.74,725,1776617768.605866,1776617768.606174,1776617768.607597,1776617768.60763,1776617768.610064,1.73,0.03,2.43,4.2
steps-local-yolo,54,000057.jpg,2,plastic_verpakking,0.9192,1776617768.617703,1776617768.677258,59.56,485,1776617768.677861,1776617768.678165,1776617768.679464,1776617768.679498,1776617768.682087,1.6,0.03,2.59,4.23
steps-local-yolo,55,000058.jpg,1,plastic_verpakking,0.9118,1776617768.689862,1776617768.743248,53.39,366,1776617768.743722,1776617768.744013,1776617768.745221,1776617768.745251,1776617768.747878,1.5,0.03,2.63,4.16
steps-local-yolo,56,000059.jpg,2,plastic_verpakking,0.9232,1776617768.755575,1776617768.811258,55.68,487,1776617768.811883,1776617768.812159,1776617768.813514,1776617768.813545,1776617768.816091,1.63,0.03,2.55,4.21
steps-local-yolo,57,000060.jpg,2,plastic_verpakking,0.6992,1776617768.823976,1776617768.85031,26.33,481,1776617768.850927,1776617768.851229,1776617768.852541,1776617768.852569,1776617768.855198,1.61,0.03,2.63,4.27
steps-local-yolo,58,000061.jpg,1,plastic_verpakking,0.874,1776617768.863044,1776617768.899438,36.39,362,1776617768.899738,1776617768.89997,1776617768.901143,1776617768.901173,1776617768.903764,1.41,0.03,2.59,4.03
steps-local-yolo,59,000062.jpg,2,plastic_verpakking,0.9629,1776617768.911512,1776617768.944399,32.89,482,1776617768.944831,1776617768.945132,1776617768.946352,1776617768.946382,1776617768.949024,1.52,0.03,2.64,4.19
steps-local-yolo,60,000063.jpg,2,metalen_verpakking,0.9207,1776617768.956654,1776617769.003431,46.78,486,1776617769.003837,1776617769.004124,1776617769.005604,1776617769.005635,1776617769.008435,1.77,0.03,2.8,4.6
steps-local-yolo,61,000064.jpg,5,plastic_verpakking,0.8952,1776617769.015647,1776617769.106552,90.9,834,1776617769.107583,1776617769.107938,1776617769.109179,1776617769.109215,1776617769.112308,1.6,0.04,3.09,4.72
steps-local-yolo,62,000065.jpg,5,metalen_verpakking,0.9292,1776617769.11968,1776617769.198951,79.27,849,1776617769.200038,1776617769.20032,1776617769.201662,1776617769.201695,1776617769.204337,1.62,0.03,2.64,4.3
steps-local-yolo,63,000066.jpg,3,plastic_verpakking,0.9233,1776617769.211713,1776617769.2945,82.79,601,1776617769.295375,1776617769.295656,1776617769.297032,1776617769.297065,1776617769.299767,1.66,0.03,2.7,4.39
steps-local-yolo,64,000067.jpg,2,metalen_verpakking,0.9487,1776617769.30712,1776617769.344689,37.57,483,1776617769.345382,1776617769.345636,1776617769.346807,1776617769.346865,1776617769.34957,1.43,0.06,2.71,4.19
steps-local-yolo,65,000068.jpg,2,metalen_verpakking,0.9683,1776617769.357181,1776617769.38682,29.64,480,1776617769.38725,1776617769.387548,1776617769.388886,1776617769.388916,1776617769.391815,1.64,0.03,2.9,4.56
