run_id,message_id,image_name,detections_count,top_class,top_confidence,inference_started_at,inference_finished_at,inference_ms,payload_size_bytes,publish_started_at,publish_confirmed_at,subscriber_received_at,subscriber_ack_published_at,publisher_ack_received_at,publish_to_subscriber_ms,subscriber_ack_processing_ms,ack_return_ms,roundtrip_ms
steps-cloud-yolo-tailscale,64,000067.jpg,2,metalen_verpakking,0.9487,1776617205.297976,1776617205.347466,49.49,493,1776617205.348439,1776617205.348739,1776617205.360145,1776617205.360179,1776617205.37296,11.71,0.03,12.78,24.52
steps-cloud-yolo-tailscale,65,000068.jpg,2,metalen_verpakking,0.9683,1776617205.380358,1776617205.418422,38.06,489,1776617205.418864,1776617205.419272,1776617205.430555,1776617205.43059,1776617205.443294,11.69,0.03,12.7,24.43
steps-cloud-yolo-tailscale,66,000069.jpg,1,plastic_verpakking,0.8866,1776617205.451066,1776617205.487513,36.45,373,1776617205.487846,1776617205.488167,1776617205.499879,1776617205.499912,1776617205.513078,12.03,0.03,13.17,25.23
steps-cloud-yolo-tailscale,67,000070.jpg,5,plastic_verpakking,0.6176,1776617205.519955,1776617205.557422,37.47,844,1776617205.558406,1776617205.558702,1776617205.57029,1776617205.570326,1776617205.583383,11.88,0.04,13.06,24.98
steps-cloud-yolo-tailscale,68,000071.jpg,2,plastic_verpakking,0.9512,1776617205.590503,1776617205.661259,70.76,494,1776617205.661671,1776617205.66195,1776617205.673427,1776617205.67346,1776617205.686295,11.76,0.03,12.84,24.62
steps-cloud-yolo-tailscale,69,000072.jpg,2,plastic_verpakking,0.9605,1776617205.693516,1776617205.72631,32.79,491,1776617205.72676,1776617205.727074,1776617205.738689,1776617205.738724,1776617205.751765,11.93,0.04,13.04,25.01
steps-cloud-yolo-tailscale,70,000073.JPG,3,plastic_verpakking,0.9408,1776617205.75885,1776617205.806507,47.66,611,1776617205.807013,1776617205.80731,1776617205.818671,1776617205.818703,1776617205.831669,11.66,0.03,12.97,24.66
steps-cloud-yolo-tailscale,71,000074.jpg,3,plastic_verpakking,0.9617,1776617205.839039,1776617205.876096,37.06,608,1776617205.876711,1776617205.877027,1776617205.888433,1776617205.888469,1776617205.901351,11.72,0.04,12.88,24.64
steps-cloud-yolo-tailscale,72,000075.jpg,2,plastic_verpakking,0.9673,1776617205.908619,1776617205.937647,29.03,492,1776617205.938028,1776617205.938309,1776617205.95002,1776617205.950053,1776617205.962733,11.99,0.03,12.68,24.7
steps-cloud-yolo-tailscale,73,000076.jpg,3,metalen_verpakking,0.9483,1776617205.969911,1776617205.998763,28.85,606,1776617205.999579,1776617205.999877,1776617206.011297,1776617206.011328,1776617206.023873,11.72,0.03,12.54,24.29
